RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
633,2026-04-07 19:25:13,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
632,2026-04-07 19:25:13,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
631,2026-04-07 19:21:55,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
630,2026-04-07 19:21:54,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
629,2026-04-07 19:21:54,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
628,2026-04-07 19:21:53,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
627,2026-04-07 19:21:52,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
626,2026-04-07 19:21:52,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
625,2026-04-07 19:21:49,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
624,2026-04-07 19:21:47,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
623,2026-04-07 19:21:46,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
622,2026-04-07 19:21:46,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
621,2026-04-07 19:21:45,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
620,2026-04-07 19:21:43,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
619,2026-04-07 19:21:28,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
618,2026-04-07 19:20:24,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
617,2026-04-07 19:20:23,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
