RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
431,2026-04-07 18:36:25,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
430,2026-04-07 18:36:24,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
429,2026-04-07 18:36:24,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
428,2026-04-07 18:36:23,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
427,2026-04-07 18:36:23,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
426,2026-04-07 18:36:22,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
425,2026-04-07 18:36:22,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
424,2026-04-07 18:36:21,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
423,2026-04-07 18:33:00,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
422,2026-04-07 18:32:59,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
421,2026-04-07 18:32:59,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
420,2026-04-07 18:32:58,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
419,2026-04-07 18:32:57,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
418,2026-04-07 18:32:53,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
417,2026-04-07 18:32:52,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
416,2026-04-07 18:32:51,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
415,2026-04-07 18:32:51,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
414,2026-04-07 18:32:51,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
413,2026-04-07 18:32:49,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
412,2026-04-07 18:32:48,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
411,2026-04-07 18:32:48,ACPI State,Informational,System ACPI Power State,Asserted,S0/G0: working
410,2026-04-07 18:32:43,SysRestart,Informational,System Boot Initiated,Asserted,System Restart
409,2026-04-07 18:32:29,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
408,2026-04-07 18:31:30,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
407,2026-04-07 18:31:30,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
406,2026-04-07 18:31:29,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
405,2026-04-07 18:31:29,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
404,2026-04-07 18:31:26,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
403,2026-04-07 18:31:26,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
402,2026-04-07 18:31:24,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
401,2026-04-07 18:31:24,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
400,2026-04-07 18:28:10,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
399,2026-04-07 18:28:09,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
398,2026-04-07 18:28:08,Mngmnt Health,Minor,Management Subsys Health,Deasserted,Sensor access degraded or unavailable
397,2026-04-07 18:28:07,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
396,2026-04-07 18:28:06,Mngmnt Health,Minor,Management Subsys Health,Asserted,Sensor access degraded or unavailable
