sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0xd7       | FAN12 F Speed    | 6048.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xd8       | FAN12 R Speed    | 4536.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xd9       | FAN13 F Speed    | 6048.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xda       | FAN13 R Speed    | 4536.000   | RPM          | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xdb       | NPU1 Power       | 74.400     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xdc       | NPU1 CORE Temp   | 36.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 0.000 
0xdd       | NPU1 HBM Temp    | 39.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 0.000 
0xde       | NPU1 VRD Temp    | 38.000     | degrees C    | ok     | na         | na         | na         | 118.000  | na         | na         | 2.000  | 0.000 
0xdf       | NPU2 CORE Temp   | 37.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 0.000 
0xe0       | NPU2 HBM Temp    | 40.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 0.000 
0xe1       | NPU2 VRD Temp    | 40.000     | degrees C    | ok     | na         | na         | na         | 118.000  | na         | na         | 2.000  | 0.000 
0xe2       | NPU2 Power       | 78.000     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xe3       | NPU3 Power       | 73.200     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xe4       | NPU3 CORE Temp   | 36.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 0.000 
0xe5       | NPU3 HBM Temp    | 38.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 0.000 
0xe6       | NPU3 VRD Temp    | 41.000     | degrees C    | ok     | na         | na         | na         | 118.000  | na         | na         | 2.000  | 0.000 
0xe7       | NPU4 CORE Temp   | 36.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 0.000 
0xe8       | NPU4 HBM Temp    | 37.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 0.000 
0xe9       | NPU4 VRD Temp    | 40.000     | degrees C    | ok     | na         | na         | na         | 118.000  | na         | na         | 2.000  | 0.000 
0xea       | NPU4 Power       | 69.600     | Watts        | ok     | na         | na         | na         | na       | na         | na         | 0.000  | 0.000 
0xeb       | PCIe RAID6 Temp  | 42.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 2.000 
0xec       | PCIe6 BBU Temp   | na         | degrees C    | na     | na         | na         | na         | 60.000   | na         | na         | 2.000  | 2.000 
0xed       | NPU8 CORE Temp   | 35.000     | degrees C    | ok     | na         | na         | na         | 105.000  | na         | na         | 2.000  | 0.000 
