sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0x60       | DIMM160          | 0          | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x61       | DIMM151          | 0          | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x62       | DIMM150          | 0          | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x63       | DIMM141          | 0          | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x64       | DIMM140          | 0          | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x65       | DIMM071          | 0          | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x66       | DIMM051          | 0          | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x67       | DIMM170          | 0          | discrete     | 0x8040 | na         | na         | na         | na       | na         | na         | na     | na    
0x68       | PS6 Status       | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x69       | PS6 Temp Status  | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x71       | PS5 Temp Status  | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x72       | PS5 Status       | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x7a       | PS4 Status       | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x7b       | PS4 Temp Status  | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x83       | PS2 Status       | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x84       | PS2 Temp Status  | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x8c       | PS3 Temp Status  | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x8d       | PS3 Status       | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x95       | PS1 Temp Status  | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x96       | PS1 Status       | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x9e       | FAN2 Presence    | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x9f       | FAN1 Presence    | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa0       | FAN3 Presence    | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa1       | FAN4 Presence    | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa2       | FAN5 Presence    | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa3       | FAN6 Presence    | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa4       | FAN7 Presence    | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xa5       | FAN8 Presence    | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xaa       | DISK2            | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xab       | DISK1            | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xac       | DISK3            | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xad       | DISK0            | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xae       | DISK1            | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xaf       | DISK2            | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xb0       | DISK3            | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xb1       | DISK0            | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xb2       | DISK0            | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xb3       | DISK2            | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb4       | DISK1            | 0          | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0xb5       | DISK3            | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb6       | FAN10 Presence   | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb7       | FAN11 Presence   | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb8       | FAN13 Presence   | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xb9       | FAN9 Presence    | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0xba       | FAN12 Presence   | 0          | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
