time-v3.1-2024.9.14,uptime,cpu_idle,mem_used,mdbus_used,mem_free,buff_cache,avail_mem,ssdp.cpu,file_transfer.cpu,framework.cpu,bmc_core.cpu,security.cpu,alarm.cpu,hardware.cpu,om_priv.cpu,energy.cpu,ras.cpu,om.cpu,interface.cpu,dbus_daemon_syslog.cpu,dbus_daemon_system.cpu,ssdp.res,ssdp.shr,ssdp.mem,ssdp.dbus,file_transfer.res,file_transfer.shr,file_transfer.mem,file_transfer.dbus,framework.res,framework.shr,framework.mem,framework.dbus,bmc_core.res,bmc_core.shr,bmc_core.mem,bmc_core.dbus,security.res,security.shr,security.mem,security.dbus,alarm.res,alarm.shr,alarm.mem,alarm.dbus,hardware.res,hardware.shr,hardware.mem,hardware.dbus,om_priv.res,om_priv.shr,om_priv.mem,om_priv.dbus,energy.res,energy.shr,energy.mem,energy.dbus,ras.res,ras.shr,ras.mem,ras.dbus,om.res,om.shr,om.mem,om.dbus,interface.res,interface.shr,interface.mem,interface.dbus,dbus_daemon_syslog.res,dbus_daemon_syslog.shr,dbus_daemon_syslog.mem,dbus_daemon_syslog.dbus,dbus_daemon_system.res,dbus_daemon_system.shr,dbus_daemon_system.mem,dbus_daemon_system.dbus
Thu Mar 12 07:53:21 CGP 2026,86463.06,53.37,1292.93,48811.00,365.50,176.30,341.43,0.17,0.00,54.13,5.70,1.93,5.83,5.77,3.73,21.93,7.43,7.07,4.07,0.00,0.07,8068.00,6692.00,1376.00,20.00,8836.00,7496.00,1340.00,20.00,228032.00,63352.00,164680.00,11828.00,171229.33,56896.00,114333.33,11232.00,85222.67,44149.33,41073.33,6685.33,184465.33,61160.00,123305.33,14014.67,150410.67,59704.00,90706.67,13129.33,88672.00,43164.00,45508.00,5998.67,120032.00,56704.00,63328.00,12538.67,159448.00,65408.00,94040.00,12901.33,161530.67,54460.00,107070.67,9089.33,143136.00,53408.00,89728.00,10484.00,4536.00,1808.00,2728.00,20.00,3748.00,3324.00,424.00,20.00
Fri Mar 13 07:53:31 CGP 2026,172873.47,51.10,1305.40,48811.00,349.93,183.20,329.00,0.33,0.00,68.47,3.77,1.60,10.20,5.67,1.90,27.87,14.97,7.27,4.30,0.13,0.10,8240.00,6692.00,1548.00,20.00,8972.00,7632.00,1340.00,20.00,236352.00,63428.00,172924.00,11850.67,172805.33,57084.00,115721.33,11273.33,85644.00,44432.00,41212.00,6742.67,192260.00,61288.00,130972.00,14057.33,155956.00,59772.00,96184.00,13136.00,92020.00,46320.00,45700.00,6986.67,121240.00,56788.00,64452.00,12545.33,160212.00,65424.00,94788.00,12906.67,165420.00,57572.00,107848.00,10042.67,131324.00,59272.00,72052.00,12402.67,4536.00,1808.00,2728.00,20.00,3748.00,3324.00,424.00,20.00
Sat Mar 14 07:53:41 CGP 2026,259283.74,58.60,1303.10,48811.00,353.63,180.07,331.27,0.13,0.00,62.37,3.33,1.57,6.47,8.13,3.80,22.77,11.67,17.00,6.10,0.03,0.10,8400.00,6692.00,1708.00,20.00,8972.00,7632.00,1340.00,20.00,236188.00,63436.00,172752.00,11853.33,172712.00,57084.00,115628.00,11273.33,85658.67,44464.00,41194.67,6750.67,191864.00,61288.00,130576.00,14057.33,155733.33,59772.00,95961.33,13136.00,92020.00,46320.00,45700.00,6986.67,121516.00,56788.00,64728.00,12545.33,159909.33,65424.00,94485.33,12906.67,165276.00,57572.00,107704.00,10042.67,131492.00,59272.00,72220.00,12402.67,4536.00,1808.00,2728.00,20.00,3748.00,3324.00,424.00,20.00
Sun Mar 15 07:53:52 CGP 2026,345694.14,56.87,1307.10,48811.00,347.57,184.07,327.27,0.30,0.00,65.43,5.87,1.60,18.23,13.27,4.10,26.30,10.40,7.30,2.30,0.10,0.10,8552.00,6692.00,1860.00,20.00,8972.00,7632.00,1340.00,20.00,237176.00,63436.00,173740.00,11853.33,172652.00,57084.00,115568.00,11273.33,85568.00,44464.00,41104.00,6750.67,191972.00,61288.00,130684.00,14057.33,155872.00,59772.00,96100.00,13136.00,92020.00,46320.00,45700.00,6986.67,121896.00,56788.00,65108.00,12545.33,160060.00,65424.00,94636.00,12906.67,165636.00,57572.00,108064.00,10042.67,131492.00,59272.00,72220.00,12402.67,4536.00,1808.00,2728.00,20.00,3748.00,3324.00,424.00,20.00
Mon Mar 16 07:54:02 CGP 2026,432104.79,32.90,1319.87,48823.00,335.40,183.70,314.53,0.33,0.03,78.60,6.33,2.40,7.20,8.73,4.10,67.50,17.23,5.40,36.93,0.10,0.10,8688.00,6692.00,1996.00,20.00,8972.00,7632.00,1340.00,20.00,236572.00,63520.00,173052.00,11862.67,173342.67,57568.00,115774.67,11434.67,85756.00,44472.00,41284.00,6753.33,192781.33,61644.00,131137.33,14176.00,156813.33,60420.00,96393.33,13352.00,92044.00,46328.00,45716.00,6989.33,122748.00,57404.00,65344.00,12849.33,164602.67,66032.00,98570.67,13109.33,165760.00,57804.00,107956.00,10166.67,140022.67,60488.00,79534.67,12786.67,4536.00,1808.00,2728.00,20.00,3748.00,3324.00,424.00,20.00
Tue Mar 17 07:54:12 CGP 2026,518514.99,45.33,1343.00,48922.00,310.03,187.87,291.30,0.37,0.00,71.13,6.17,3.70,9.57,8.00,1.77,33.43,9.10,7.07,7.33,0.13,0.10,8848.00,6692.00,2156.00,20.00,8972.00,7632.00,1340.00,20.00,237640.00,63620.00,174020.00,11896.00,173482.67,57676.00,115806.67,11470.67,85768.00,44576.00,41192.00,6788.00,193121.33,62072.00,131049.33,14318.67,156530.67,60520.00,96010.67,13385.33,92040.00,46328.00,45712.00,6989.33,123264.00,57864.00,65400.00,12904.00,163832.00,66228.00,97604.00,13174.67,165888.00,57996.00,107892.00,10201.33,135868.00,60924.00,74944.00,12909.33,4536.00,1808.00,2728.00,20.00,3856.00,3344.00,512.00,20.00
Sat Mar 21 14:29:32 CGP 2026,86463.75,65.30,1282.03,46418.00,373.53,183.27,352.37,0.17,0.00,42.30,3.33,1.90,6.73,5.47,4.23,8.63,11.40,7.43,2.17,0.00,0.13,7992.00,6656.00,1336.00,20.00,9024.00,7700.00,1324.00,20.00,223448.00,63788.00,159660.00,11861.33,169780.00,56000.00,113780.00,10981.33,83180.00,41640.00,41540.00,5894.67,172408.00,58632.00,113776.00,13232.00,146329.33,56772.00,89557.33,12221.33,88214.67,42608.00,45606.67,5748.00,113024.00,52692.00,60332.00,11297.33,157196.00,62996.00,94200.00,12064.00,159050.67,52308.00,106742.67,8368.00,133468.00,38592.00,94876.00,5585.33,5344.00,1900.00,3444.00,20.00,3780.00,3352.00,428.00,20.00
Sun Mar 22 14:29:43 CGP 2026,172874.03,65.07,1282.17,46419.00,373.90,181.57,352.17,0.23,0.00,43.47,2.97,1.73,6.43,7.13,1.83,8.80,8.67,20.63,4.37,0.10,0.10,8148.00,6656.00,1492.00,20.00,9024.00,7700.00,1324.00,20.00,224786.67,64384.00,160402.67,12052.00,170382.67,56000.00,114382.67,10981.33,83336.00,41772.00,41564.00,5937.33,172364.00,58724.00,113640.00,13266.67,146446.67,56836.00,89610.67,12242.67,88216.00,42608.00,45608.00,5748.00,113216.00,52792.00,60424.00,11324.00,157216.00,62996.00,94220.00,12064.00,158520.00,52440.00,106080.00,8382.67,133808.00,38736.00,95072.00,5616.00,5344.00,1900.00,3444.00,20.00,3780.00,3352.00,428.00,20.00
Tue Mar 24 09:02:04 CGP 2026,86461.49,68.83,1283.93,47187.00,371.97,182.67,350.40,0.30,0.00,47.10,3.23,1.90,4.00,8.30,1.90,8.57,15.40,9.47,2.13,0.10,0.00,8032.00,6684.00,1348.00,20.00,8864.00,7532.00,1332.00,20.00,226120.00,63956.00,162164.00,12028.00,167565.33,53568.00,113997.33,10185.33,84724.00,43428.00,41296.00,6422.67,174345.33,59940.00,114405.33,13725.33,148736.00,58316.00,90420.00,12777.33,88396.00,42476.00,45920.00,5720.00,113100.00,52924.00,60176.00,11417.33,157612.00,63348.00,94264.00,12318.67,162321.33,55672.00,106649.33,9606.67,147960.00,56608.00,91352.00,11538.67,4736.00,1784.00,2952.00,20.00,3756.00,3340.00,416.00,20.00
Sat Mar 28 08:48:51 CGP 2026,86459.54,44.07,1283.60,48970.00,372.90,180.00,350.73,0.33,0.00,69.13,3.70,2.00,12.97,7.33,4.13,29.07,28.40,7.27,2.27,0.13,0.07,8356.00,6880.00,1476.00,20.00,8976.00,7652.00,1324.00,20.00,229132.00,65368.00,163764.00,12422.67,171769.33,57328.00,114441.33,11393.33,85021.33,43880.00,41141.33,6585.33,186422.67,62304.00,124118.67,14416.00,150008.00,59640.00,90368.00,13074.67,89228.00,43700.00,45528.00,6164.00,123405.33,58724.00,64681.33,13164.00,160552.00,65176.00,95376.00,12789.33,160604.00,54192.00,106412.00,9112.00,135356.00,60636.00,74720.00,12777.33,4744.00,1792.00,2952.00,20.00,3840.00,3428.00,412.00,20.00
Sun Mar 29 08:49:01 CGP 2026,172869.87,57.73,1286.83,48971.00,368.00,183.40,347.50,0.33,0.00,61.03,3.67,1.57,8.77,6.87,1.93,32.90,8.77,7.13,4.17,0.13,0.10,8508.00,6880.00,1628.00,20.00,8976.00,7652.00,1324.00,20.00,229684.00,65512.00,164172.00,12460.00,171782.67,57332.00,114450.67,11394.67,85004.00,44044.00,40960.00,6640.00,186870.67,62324.00,124546.67,14420.00,149872.00,59640.00,90232.00,13074.67,89228.00,43700.00,45528.00,6164.00,123624.00,58724.00,64900.00,13164.00,160604.00,65176.00,95428.00,12789.33,160914.67,54400.00,106514.67,9112.00,135552.00,60636.00,74916.00,12777.33,4744.00,1792.00,2952.00,20.00,3840.00,3428.00,412.00,20.00
