RecordId,Timestamp,SensorName,Level,SensorType,Status,Description
669,2026-04-28 08:47:57,PwrOk Sig. Drop,Critical,Power Supply,Deasserted,Failure detected
668,2026-04-28 08:47:56,Power Button,Informational,Button,Asserted,Power Button pressed
667,2026-04-28 07:16:44,BCU1 3V3_RISER2,Major,Voltage,Deasserted,Lower Critical going low 
666,2026-04-28 07:16:43,BCU1 3V3_RISER2,Major,Voltage,Deasserted,Lower Critical going low 
665,2026-04-28 07:16:40,ACPI State,Informational,System ACPI Power State,Asserted,S4/S5: soft-off
664,2026-04-28 07:16:32,Power Button,Informational,Button,Asserted,Power Button pressed
663,2026-04-28 07:16:14,Power Button,Informational,Button,Asserted,Power Button pressed
662,2026-04-28 07:16:06,Power Button,Informational,Button,Asserted,Power Button pressed
661,2026-04-28 07:15:37,PwrOk Sig. Drop,Critical,Power Supply,Asserted,Failure detected
660,2026-04-28 06:59:51,DIMM040,Informational,Memory,Asserted,Presence detected
659,2026-04-28 06:59:51,DIMM041,Informational,Memory,Asserted,Presence detected
658,2026-04-28 06:59:50,DIMM050,Informational,Memory,Asserted,Presence detected
657,2026-04-28 06:59:49,DIMM051,Informational,Memory,Asserted,Presence detected
656,2026-04-28 06:59:49,DIMM011,Informational,Memory,Asserted,Presence detected
655,2026-04-28 06:59:48,DIMM020,Informational,Memory,Asserted,Presence detected
654,2026-04-28 06:59:47,DIMM131,Informational,Memory,Asserted,Presence detected
653,2026-04-28 06:59:47,DIMM031,Informational,Memory,Asserted,Presence detected
652,2026-04-28 06:59:46,DIMM100,Informational,Memory,Asserted,Presence detected
651,2026-04-28 06:59:46,DIMM101,Informational,Memory,Asserted,Presence detected
650,2026-04-28 06:59:45,DIMM130,Informational,Memory,Asserted,Presence detected
649,2026-04-28 06:59:45,DIMM071,Informational,Memory,Asserted,Presence detected
648,2026-04-28 06:59:44,DIMM121,Informational,Memory,Asserted,Presence detected
647,2026-04-28 06:59:43,DIMM120,Informational,Memory,Asserted,Presence detected
646,2026-04-28 06:59:42,DIMM060,Informational,Memory,Asserted,Presence detected
645,2026-04-28 06:59:41,DIMM061,Informational,Memory,Asserted,Presence detected
644,2026-04-28 06:59:41,DIMM070,Informational,Memory,Asserted,Presence detected
643,2026-04-28 06:59:40,DIMM140,Informational,Memory,Asserted,Presence detected
642,2026-04-28 06:59:40,DIMM141,Informational,Memory,Asserted,Presence detected
641,2026-04-28 06:59:39,DIMM000,Informational,Memory,Asserted,Presence detected
640,2026-04-28 06:59:39,DIMM001,Informational,Memory,Asserted,Presence detected
639,2026-04-28 06:59:38,DIMM010,Informational,Memory,Asserted,Presence detected
638,2026-04-28 06:59:38,DIMM021,Informational,Memory,Asserted,Presence detected
637,2026-04-28 06:59:37,DIMM030,Informational,Memory,Asserted,Presence detected
636,2026-04-28 06:59:36,DIMM150,Informational,Memory,Asserted,Presence detected
635,2026-04-28 06:59:34,DIMM151,Informational,Memory,Asserted,Presence detected
634,2026-04-28 06:59:32,DIMM110,Informational,Memory,Asserted,Presence detected
633,2026-04-28 06:59:29,DIMM160,Informational,Memory,Asserted,Presence detected
632,2026-04-28 06:59:26,DIMM111,Informational,Memory,Asserted,Presence detected
631,2026-04-28 06:59:23,DIMM161,Informational,Memory,Asserted,Presence detected
