"id": "1","label": "CpuUtilise"#
2026/04/20 12:23:29#1
2026/04/20 12:24:33#0
2026/04/20 12:25:37#0
2026/04/20 12:26:40#0
2026/04/20 12:27:44#1
2026/04/20 12:28:48#0
2026/04/20 12:29:52#0
2026/04/20 12:30:55#0
2026/04/20 12:31:59#0
2026/04/20 12:33:02#1
2026/04/20 12:34:06#0
2026/04/20 12:35:10#1
2026/04/20 12:36:13#0
2026/04/20 12:37:17#0
2026/04/20 12:38:21#0
2026/04/20 12:39:24#0
2026/04/20 12:40:28#0
2026/04/20 12:41:31#0
2026/04/20 12:42:35#0
2026/04/20 12:43:39#0
2026/04/20 12:44:42#0
2026/04/20 12:45:46#0
2026/04/20 12:46:50#1
2026/04/20 12:47:53#0
2026/04/20 12:48:57#0
2026/04/20 12:50:01#0
2026/04/20 12:51:04#0
2026/04/20 12:52:08#0
2026/04/20 12:53:12#0
2026/04/20 12:54:15#0
2026/04/20 12:55:19#1
2026/04/20 12:56:22#0
2026/04/20 12:57:26#0
2026/04/20 12:58:30#0
2026/04/20 12:59:34#0
2026/04/20 13:00:38#0
2026/04/20 13:01:41#0
2026/04/20 13:02:45#0
2026/04/20 13:03:48#0
2026/04/20 13:04:52#0
2026/04/20 13:05:55#0
2026/04/20 13:06:59#1
2026/04/20 13:08:03#0
2026/04/20 13:09:06#1
2026/04/20 13:10:10#1
2026/04/20 13:11:14#0
2026/04/20 13:12:18#0
2026/04/20 13:13:21#0
2026/04/20 13:14:25#0
2026/04/20 13:15:29#1
2026/04/20 13:16:33#0
2026/04/20 13:17:37#0
2026/04/20 13:18:40#0
2026/04/20 13:19:44#0
2026/04/20 13:20:48#0
2026/04/20 13:21:52#0
2026/04/20 13:22:56#1
2026/04/20 13:23:59#1
2026/04/20 13:25:03#0
2026/04/20 13:26:07#0
